name;unvan;ana_bilim_dali;uzmanlik_alani;toplam_makale;sci_ssci;kitap_sayisi
ŞEREF SAĞIROĞLU;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgi Güvenliği ve Kriptoloji ; Yapay Zeka ; Siber Güvenlik | Bilgi Güvenliği ve Kriptoloji | Yapay Zeka | Siber Güvenlik 2082C91DE15132F5 | Mühendislik Temel Alanı";242;54;61
MUHAMMET ALİ AKCAYOL;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bilgisayar ve İletişim Ağları ; Bilgisayar Yazılımı ve Yazılım Mühendisliği | Yapay Zeka | Bilgisayar ve İletişim Ağları | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Mühendislik Temel Alanı";101;0;4
NECAATTİN BARIŞÇI;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Makine Öğrenmesi ; Veri Tabanı | Yapay Zeka | Makine Öğrenmesi | Veri Tabanı | Mühendislik Temel Alanı";68;3;1
AYSUN COŞKUN;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bulanık Mantık ; Bilgi Sistemleri | Yapay Zeka | Bulanık Mantık | Bilgi Sistemleri | Mühendislik Temel Alanı";24;1;5
YUSUF SÖNMEZ;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Veri Madenciliği ; Siber Güvenlik | Yapay Zeka | Veri Madenciliği | Siber Güvenlik | Mühendislik Temel Alanı";41;4;1
İBRAHİM ALPER DOĞRU;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Yazılımı ; Programlama Dilleri | Bilgisayar Yazılımı | Programlama Dilleri | Mühendislik Temel Alanı";56;1;5
HÜSEYİN POLAT;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Veri Madenciliği ; Makine Öğrenmesi ; Ses ve Konuşma İşleme | Veri Madenciliği | Makine Öğrenmesi | Ses ve Konuşma İşleme | Mühendislik Temel Alanı";48;1;7
DİDEM GÖZÜPEK KOCAMAN;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ KURAMSAL TEMELLER;"Bilgisayar Bilimleri ve Mühendisliği | Algoritmalar ve Hesaplama Kuramı ; Bilgisayar ve İletişim Ağları ; Hesaplama Yöntemleri | Algoritmalar ve Hesaplama Kuramı | Bilgisayar ve İletişim Ağları | Hesaplama Yöntemleri | Mühendislik Temel Alanı";40;11;1
YUSUF SİNAN AKGÜL;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Makine Öğrenmesi ; Görüntü İşleme ; Yapay Zeka | Makine Öğrenmesi | Görüntü İşleme | Yapay Zeka | Mühendislik Temel Alanı";42;16;5
AKİF AKGÜL;Profesör;BİLGİSAYAR DONANIMI;"Bilgisayar Bilimleri ve Mühendisliği | Bilgi Güvenliği ve Kriptoloji ; Gömülü Sistemler ; Bilgisayar Sistem Yapısı ve Donanımı | Bilgi Güvenliği ve Kriptoloji | Gömülü Sistemler | Bilgisayar Sistem Yapısı ve Donanımı | Mühendislik Temel Alanı";126;23;3
